Threads,    Size,  MegaMults,    SIMDMMs, MMSpeedup,   MegaSums,    SIMDMSs, MSSpeedup
      1, 1048576,     380.68,    1780.63,      4.68,     394.45,    1866.63,   4.73
      1, 2097152,     378.15,    1303.87,      3.45,     393.56,    1793.92,   4.56
      1, 4194304,     372.86,     959.04,      2.57,     392.48,    1386.09,   3.53
      1, 8388608,     368.55,     857.84,      2.33,     387.51,    1147.58,   2.96
      2, 1048576,     767.58,    3748.44,      4.88,     789.55,    3787.63,   4.80
      2, 2097152,     751.22,    2685.48,      3.57,     788.75,    3689.36,   4.68
      2, 4194304,     740.59,    1903.12,      2.57,     779.45,    2756.90,   3.54
      2, 8388608,     732.84,    1649.27,      2.25,     774.30,    2258.05,   2.92
      4, 1048576,    1546.32,    7472.08,      4.83,    1589.00,    7546.35,   4.75
      4, 2097152,    1500.50,    4973.96,      3.31,    1569.66,    7316.72,   4.66
      4, 4194304,    1449.26,    3539.71,      2.44,    1547.61,    5377.56,   3.47
      4, 8388608,    1451.91,    3095.93,      2.13,    1544.39,    4361.33,   2.82
      8, 1048576,    3082.53,   14703.81,      4.77,    3165.96,   14868.86,   4.70
      8, 2097152,    3054.35,   11589.35,      3.79,    3174.35,   15041.88,   4.74
      8, 4194304,    2928.58,    6727.28,      2.30,    3101.80,   10509.81,   3.39
      8, 8388608,    2892.30,    5872.93,      2.03,    3089.56,    8193.06,   2.65
